nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
COMBO HALU! 5PC SEBLAK MIE HALU - EMAK INDAH FOOD,99000,Pempek Emak Indah,Jakarta Barat,6,5.0,Jabodetabek
Seblak / Seblak Kering / Kerupuk Seblak Kering Pedas,15000,Bung Boe Snack,Kab. Sumedang,40,5.0,Luar Jabodetabek
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Anum Sari - 250 Gram,15000,ANUM SARI,Tangerang Selatan,6,5.0,Jabodetabek
Yasnack Kerupuk Seblak Rafael Pedas Cikruh Gurih 500 gr,28900,YasnackID,Bandung,9,5.0,Luar Jabodetabek
"Kerupuk Seblak Pedas 100 Gram, Kerupuk Seblak Daun Jeruk Gurih Renyah",22688,Nion.Nion_Official,Tangerang Selatan,20,4.5,Jabodetabek
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,41000,JAGO TOK PETOK,Surabaya,100,4.9,Luar Jabodetabek
KERUPUK JABLAY BANTET SEBLAK KENCUR MINI KILOAN 500GRAM,20500,Ayra jaya snack,Jakarta Utara,2,5.0,Jabodetabek
TENS Mie Kremes Seblak / Snack Vegan / Cemilan Sehat 65Gr,11900,Frozen Mart Jakarta,Jakarta Utara,23,5.0,Jabodetabek
Bumbu Instan Cimol Seblak Cilok Atoom Atom Bulan Grosir,990,yohangunawan94,Bandung,4000,5.0,Luar Jabodetabek
Cuanki lidah 150 pcs khas garut toping baso aci & Seblak K'rasa BARAYA,45999,aghniya,Tangerang Selatan,40,5.0,Jabodetabek
Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr,34500,Bintang Snack & Camilan,Semarang,9,5.0,Luar Jabodetabek
cuanki/cuankie lidah 150 pcs khas Garut topping boci/baso Aci/seblak,46999,ArfaOnlineShop,Tangerang,18,5.0,Jabodetabek
Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500,Aliya28,Tangerang Selatan,100,5.0,Jabodetabek
Kerupuk Seblak Mawar Kribo Pedas Daun Jeruk 1.8kg,70000,Cap 2K Snack,Kab. Bandung,20,4.6,Luar Jabodetabek
Cancimen Seblak Ramen Mas Miun Snack Cemilan Cup Siap Saji,16830,Mo_toko,Tangerang Selatan,8,5.0,Jabodetabek
BUMBU KUAH CUANKI BASO ACO/BOCI SEBLAK ECERAN,699,ArfaOnlineShop,Tangerang,750,4.9,Jabodetabek
seblak instan masabi,8000,baso aci masabi,Jakarta Selatan,250,4.8,Jabodetabek
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk,20000,Distributor-Jaya,Tangerang,100,5.0,Jabodetabek
Seblak Putri 80 gr,12500,King Fresh Mart,Jakarta Barat,16,5.0,Jabodetabek
Muria Snack Seblak Stick Cabe Merah x 10pcs (Bisa Same Day Delivery),55000,Merbabu Food,Tangerang Selatan,5,5.0,Jabodetabek
SAGO MEE PAKET 5 CUP KOMPLIT (BISA PILIH VARIAN) SAGOMEE MIE INSTAN,48500,Noname Goods,Jakarta Barat,100,5.0,Jabodetabek
"Seblak Instan, Praktis, Komplit Khas Sunda by Kang Idin",26000,Kaya Halal Market,Jakarta Selatan,28,4.9,Jabodetabek
Pasar Keripik Cimol Seblak Pedas Kiloan,55000,Pasar Keripik Bandung,Bandung,19,5.0,Luar Jabodetabek
Poco loco salsa dip guacamole 300 gr,95000,toko cahaya bintaro,Jakarta Selatan,24,5.0,Jabodetabek
CUANKI/CUANKIE SIOMAY SPECIAL KHAS GARUT ISI 50 PCS BASO ACI & SEBLAK,17999,ArfaOnlineShop,Tangerang,18,5.0,Jabodetabek
Seblak kerupuk mawar/pedo pedas aroma daun jeruk 1 kg khas bandung,55000,Seblak putra bandung,Kab. Bandung,3,5.0,Luar Jabodetabek
cuanki/cuankie lidah isi 100 pcs baso Aci/boci/seblak,32999,ArfaOnlineShop,Tangerang,60,4.9,Jabodetabek
Cuanki lidah 100 pcs khas garut toping baso aci & Seblak (BRY),31999,aghniya,Tangerang Selatan,100,4.9,Jabodetabek
atom bintang kembar kecil 50g- bumbu seblak - baso Aci - bakso cuanki,4000,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9,Jabodetabek
kerupuk bawang orange - kerupuk seblak 250gr,7500,Tukangsayurmbakyu,Tangerang Selatan,100,4.9,Jabodetabek
KERUPUK SEBLAK 1KG / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,36900,Dapur Sehat21,Kab. Bandung,40,4.5,Luar Jabodetabek
Bumbu Penyedap Baso Aci / Seblak,14500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100,4.9,Jabodetabek
Cimol Spesial K.y.l Kylafood,23790,kylafood,Bandung,4000,4.9,Luar Jabodetabek
Paket Pesta Kuliner k.y.l Kylafood,60375,kylafood,Bandung,4000,4.9,Luar Jabodetabek
Kylafood Batagor Kuah Play,22230,kylafood,Bandung,1000,5.0,Luar Jabodetabek
Krupuk kerupuk Seblak Pedas Gurih krupuk Jablay,18000,Akang Kripik,Jakarta Timur,30,5.0,Jabodetabek
Seblak Bu Etu - Misdaseum / Original,19900,Bakso Bu Etu,Kab. Bandung,750,4.9,Luar Jabodetabek
siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,25000,CuankiCulametan,Kab. Garut,100,4.9,Luar Jabodetabek
cuanki/cuankie lidah isi 150 khas Garut baso Aci/boci/seblak,47999,ArfaOnlineShop,Tangerang,21,5.0,Jabodetabek
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,12500,Pasar Keripik Bandung,Bandung,40,4.9,Luar Jabodetabek
seblak instant komplit bumbu cikruh bandung aufaro snack,6800,AUFARO SNACK,Kab. Bandung Barat,250,4.9,Luar Jabodetabek
BUBUK CABAI/CABE BASO ACI/BOCI/SEBLAK/CUANKI ECERAN,699,ArfaOnlineShop,Tangerang,250,5.0,Jabodetabek
kerupuk bawang pedas seblak plastik 250gr,26500,DRSukses,Jakarta Selatan,16,5.0,Jabodetabek
Seblak Kering Dapur Cabai Krupuk Mix | Sebring Cikruh Bumbu Kacang,58550,manisan pak andre,Jakarta Timur,9,5.0,Jabodetabek
KERUPUK KRIWIL PEDAS 1kg / KRUPUK SEMBRING SEBLAK KERITING,67848,AHR Jaya Snack,Jakarta Timur,13,4.3,Jabodetabek
Seblak Cobek Seblak Rafael Seblak Ala Rafael_1616 Seblak Sambel Kencur,8782,NomeL Shop,Surabaya,30,5.0,Luar Jabodetabek
cuankie/cuanki lidah isi 150 pcs khas Garut baso Aci /boci seblak,46999,ArfaOnlineShop,Tangerang,24,4.6,Jabodetabek
"pilus kencur 3 kg K'Rasa enak dan renyah baso aci, seblak, cemilan dll",95999,aghniya,Tangerang Selatan,50,5.0,Jabodetabek
[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram,13790,duniacemilan,Bandung,100,4.9,Luar Jabodetabek
Kerupuk Putih Dua Jago 500gr - Krupuk Seblak Bubur Ayam Ketoprak,12000,Boeana Baking & Sembako,Tangerang,40,5.0,Jabodetabek
Kerupuk Kering 250g Bahan Seblak Variasi Lengkap by GG,5999,gaiagarut,Kab. Garut,40,5.0,Luar Jabodetabek
seblak basreng pedas original exstra daun jeruk 500gram,25000,seblak bandung99,Kab. Bandung,2000,4.8,Luar Jabodetabek
KERUPUK OREN 1KG TOPPING SEBLAK,19000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,29,5.0,Jabodetabek
Seblak Instan Kwetiaw,13500,RN FROZEN FOOD,Jakarta Selatan,8,5.0,Jabodetabek
[READY MEDAN] Kerupuk Bawang Bantet Seblak Pedas Jeruk Murah 100grm,8000,CemilanPuas,Medan,250,4.9,Luar Jabodetabek
KERUPUK SEBLAK KERING BANTAT RAFAEL PEDES DAUN JERUK 250 GRAM ,19000,Madinah Oleh Oleh Bdg,Bandung,16,4.8,Luar Jabodetabek
pilus cikur / pilus seblak baso aci - 250gram,12000,yumnaa snack,Kab. Bekasi,30,4.8,Jabodetabek
Cuanki Pangsit kering Segitiga Cipet isi 40 toping seblak baso aci,13500,CuankiCulametan,Kab. Garut,250,5.0,Luar Jabodetabek
Kerupuk Seblak Pedas / Kerupuk Seblak Merah,18000,Snackzone PP,Jakarta Pusat,21,4.0,Jabodetabek
Seblak Seafood Instan,7500,Cemilan Malang,Malang,14,5.0,Luar Jabodetabek
[TERMURAH] (COD) 1kg Krupuk Seblak Bantet Kering/ Kripik Seblak Pedas,47000,Arkadewi11,Jakarta Selatan,2,5.0,Jabodetabek
Paket 7 Pcs Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,120000,Central Seblak Nusantara,Tangerang Selatan,16,4.9,Jabodetabek
Kerupuk Krupuk Seblak Merah Kering Pedas Oleh Oleh Bandung Odjolali,10500,Storio Store,Tangerang Selatan,19,4.7,Jabodetabek
Kerupuk Mentah Mawar Putih Seblak Viral Bawang 1 Bal 5 Kg,95000,BuddhiSMART,Tangerang,2,5.0,Jabodetabek
Kylafood Mie Tulang Rawan Play,19890,kylafood,Bandung,250,4.9,Luar Jabodetabek
seblak instan mie original om brewok,14000,Muysproduct,Kab. Bogor,5,5.0,Jabodetabek
