nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,Rp2.600,NomeL Shop,Surabaya,500+ terjual,4.8
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,Rp21.000,SuperSnacksShop,Kab. Bandung,250+ terjual,4.9
5 Pack Seblak Instant CARLA,Rp67.500,Seblak carla,Tangerang,40+ terjual,5.0
Seblak Basranger Extra Pedas 200gr,Rp17.300,Rak Sebelah,Jakarta Pusat,250+ terjual,4.9
"[OYI] Seblak Instant ""mBak'Well"" Rasa Mantap Bikin Nagih",Rp15.000,Welly Mart,Tangerang Selatan,2 terjual,
SEBLAK ACI JAGUAR TERLEZAT BASO ACI BAKSO ACI NIKMAT BELI 5 GRATIS 1,Rp10.000,Uai Food,Surabaya,750+ terjual,4.8
Seblak frozen ,Rp16.000,Toko_Mamake,Kab. Tangerang,,
Seblak Cup Instan Komplit Original - Pedas Gurih Spesial,Rp12.600,indieshop786,Kab. Garut,,
YIMS seblak instant pedas napol termurah khas garut kerupuk seblak teh,Rp5.500,Yimshop,Semarang,250+ terjual,4.7
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,Rp6.173,Berkah Food Bandung,Cimahi,6rb+ terjual,4.9
Kerupuk mawar putih mentah 1ball (5kg)/kerupuk seblak viral rafael,Rp105.000,Semesta kerupuk,Tangerang Selatan,30+ terjual,5.0
Sebring seblak kering,Rp4.444,tsr1997,Depok,100+ terjual,4.8
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,Rp23.500,BociKakang,Jakarta Selatan,250+ terjual,5.0
Seblak Blak mie,Rp11.000,ken-olshop,Bekasi,250+ terjual,5.0
MIE BURUNG DARA ISI 30 PCS BASO ACI/BOCI/SEBLAK,Rp26.000,ArfaOnlineShop,Tangerang,40+ terjual,4.6
SEBLAK KERING PEDAS DAUN JERUK,Rp4.500,BociKakang,Jakarta Selatan,750+ terjual,4.6
kerupuk mix 100 gram campuran seblak,Rp2.999,ArfaOnlineShop,Tangerang,20 terjual,5.0
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS,Rp19.500,aurel prima snack,Jakarta Barat,17 terjual,5.0
SIOMAY MINI KERING 250 GRAM BASO ACI/BOCI/SEBLAK/CUANKI/CUANKIE,Rp9.999,ArfaOnlineShop,Tangerang,80+ terjual,4.9
Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,Rp9.000,The Little Snacks,Tangerang Selatan,500+ terjual,4.9
KERUPUK PEDAS SEBLAK JABLAY WARNA WARNI KILOAN TERLARIS 25OGR,Rp15.000,TOKO KUE MEISYA 2,Jakarta Pusat,50+ terjual,4.9
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 1kg,Rp28.500,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.8
kerupuk bawang mentah -+5kg untuk seblak warna warni. wajib grab/gojek,Rp68.500,olshoppwgi,Tangerang Selatan,12 terjual,5.0
Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,Rp14.000,TAM SNACK,Depok,100+ terjual,4.8
KERUPUK SEBLAK PUTIH PEDAS 250 gr,Rp16.000,Kurniarasa Baltos,Bandung,100+ terjual,4.9
Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,Rp12.000,Semesta kerupuk,Tangerang Selatan,90+ terjual,5.0
KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 500 GR,Rp31.164,Toko kue Sumber Mas,Jakarta Timur,100+ terjual,4.8
krupuk seblak pedas daun jeruk,Rp10.000,toko cemilan rafiqi,Jakarta Barat,100+ terjual,5.0
KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 1 KG,Rp60.102,Toko kue Sumber Mas,Jakarta Timur,90+ terjual,4.9
Kerupuk Seblak,Rp8.000,SNACK JAKARTA 411,Jakarta Barat,250+ terjual,5.0
Kerupuk seblak bantet pedas 75 gr enak renyah,Rp4.500,RIKI STORE 97,Kab. Bogor,3 terjual,5.0
kerupuk bawang orange seblak - 250 gr,Rp8.500,annamustikashop,Jakarta Barat,30+ terjual,5.0
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp11.500,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
SEBLAK INSTANT HALU - SEBLAK MIE HALU - EMAK INDAH FOOD,Rp19.999,Pempek Emak Indah,Jakarta Barat,250+ terjual,4.7
seblak kerupuk bantet kering 75 gram,Rp5.000,RIKI STORE 97,Kab. Bogor,90+ terjual,4.7
Kerupuk Seblak Kencur Pedas Gurih - Anum Sari,Rp14.000,ANUM SARI,Tangerang Selatan,70+ terjual,4.9
Seblak Ceker Cap Dua Putra,Rp8.000,Medina Snack Grosir,Kab. Sukabumi,100+ terjual,5.0
Seblak Rafael Original Asli 100% (Ready Stock) seblak coet @rafaeltan,Rp38.000,Eldenta Shop,Surabaya,50+ terjual,5.0
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp71.250,kylafood,Bandung,500+ terjual,4.9
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 500 gr,Rp13.999,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.9
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,5.0
Kerupuk Seblak kering pedas RIKI,Rp8.800,Van Kios,Bandung,1rb+ terjual,4.9
Seblak Rafael,Rp25.000,Seblak Rafael Official,Kab. Garut,40+ terjual,4.8
Seblak kering pedas daun jeruk 1/2 kg,Rp30.000,maherashop,Bandung,,
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,Rp17.160,Foodstocks,Jakarta Selatan,80+ terjual,4.9
cuanki lidah asli garut isi 150 pcs,Rp31.000,kira3arut,Kab. Garut,9rb+ terjual,4.9
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan - Batagor Kuah,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,5.0
Seblak Instan Komplit Rasa Tom Yum Cup 85gr Pusaka Parahyangan,Rp12.600,indieshop786,Kab. Garut,,
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,Rp60.000,Lidigeli,Kab. Garut,24 terjual,4.2
Cancimen Seblak Ramen Mas Miun Instan Cemilan Cup Kekinian Khas Garut,Rp17.000,The Little Snacks,Tangerang Selatan,60+ terjual,5.0
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,CUANKI CULAMETAN,Kab. Garut,250+ terjual,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp71.250,kylafood,Bandung,500+ terjual,4.9
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Rak Sebelah,Jakarta Pusat,100+ terjual,4.9
Kerupuk Seblak Pedas/Kerupuk Seblak Bantet Pedas 250 Gram,Rp12.500,jsr rempah indonesia,Jakarta Selatan,17 terjual,5.0
Kerupuk Pedas Sebring Seblak Keriting Extra Pedas Kencur isi 150 Gram,Rp12.000,toko kue pundi mas,Jakarta Pusat,100+ terjual,4.8
KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR,Rp12.500,BociKakang,Jakarta Selatan,100+ terjual,4.9
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,Rp51.771,Grosir Besar Kalimantan,Banjarbaru,16 terjual,5.0
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,Rp63.000,Sajodo Snack & Food,Tasikmalaya,17 terjual,5.0
Omiyago Snack Kerupuk Seblak,Rp6.020,omiyago,Jakarta Barat,30+ terjual,4.8
Kylafood Paket 2 Seblak Original 3 Batagor Kuah,Rp96.375,kylafood,Bandung,250+ terjual,4.9
SEBLAK ACI JAGUAR BASO ACI BAKSO ACI NIKMAT BELI 5 GRATIS 1,Rp10.000,Uai Food,Surabaya,30+ terjual,4.4
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",Rp55.875,kylafood,Bandung,500+ terjual,4.9
Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Rak Sebelah,Jakarta Pusat,50+ terjual,4.8
seblak ceker pedas (Snack Cemilan) . Seblak Ceker Snack Makanan Ringan,Rp12.000,rendy store snack,Tangerang Selatan,100+ terjual,4.9
Seblak Instan Carla 100gr,Rp14.000,3Key Frozen,Tangerang,30+ terjual,5.0
"siomay mini kering 250 gr enak renyah untuk basoaci,seblak,cemilan dll",Rp9.999,aghniya,Tangerang Selatan,100+ terjual,4.8
Cireng Seblak Instan,Rp18.500,JajananArkanAnin,Kab. Bogor,6 terjual,5.0
seblak ceker pedas,Rp8.950,snack_it,Tangerang Selatan,250+ terjual,4.9
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,Rp28.000,Pedas Gilaa,Surabaya,500+ terjual,4.9
KERUPUK SEBLAK / SEBLAK GORENG / SEBLAK KERING RAFAEL / KRUPUK PEDAS,Rp16.000,ngemildotcom,Depok,16 terjual,5.0
Bumbu Seblak 200 g Dengan Kerupuk,Rp34.980,MSH Rempah,Jakarta Selatan,80+ terjual,5.0
BUMBU KENCUR SEBLAK INSTANT,Rp1.200,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,500+ terjual,5.0
Seblak Bantat Boboko Pedas Daun Jeruk Level 13 Khas Bandung 200g,Rp18.700,Gerai Snack Official Shop,Kab. Tangerang,100+ terjual,4.7
Kylafood Seblak Rempah Autentik isi (5pcs),Rp45.235,kylafood,Bandung,100+ terjual,4.6
seblak keong pedas maknyus - 100 gram,Rp10.000,jajansnacks jkt,Jakarta Barat,100+ terjual,4.9
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp32.500,kylafood,Bandung,50+ terjual,4.4
Basranger Baso Aci Cuanki Extra Pedas 200gr - Makanan Instan Premium,Rp23.400,Rak Sebelah,Jakarta Pusat,100+ terjual,4.9
 Kylafood Seblak karuhun,Rp10.530,kylafood,Bandung,4rb+ terjual,4.8
KERUPUK SEBLAK 250gr / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,Rp12.500,Dapur Sehat21,Kab. Bandung,100+ terjual,4.9
kerupuk seblak cocol mentah viral mawar 100gram,Rp5.000,cemilanceuromlah,Bandung,250+ terjual,5.0
keripik seblak/Seblak Kering/Kerupuk Bantat/Sebring/mak cudot 70gr,Rp5.125,mak_cudot,Jakarta Utara,10 terjual,5.0
kerupuk seblak kencur pedas gurih,Rp5.500,RIKI STORE 97,Kab. Bogor,40+ terjual,4.6
"Kerupuk seblak rafael 1 Kg, 500 Gr, 250 Gr, 100 gr",Rp11.000,Sari Barokah Mandiri,Tangerang,7 terjual,5.0
10 BUNGKUS SEBLAK COBEK ALA RAFAEL,Rp40.000,global cookware1,Jakarta Barat,5 terjual,5.0
SEBLAK BANTAT PEDES DAUN JERUK 250GR,Rp18.000,Madinah Oleh Oleh Bdg,Bandung,100+ terjual,4.9
GRATIS KARDUS CUANKI MIX MURAH - BISA COD - TOPING SEBLAK - BASO ACI,Rp30.000,Distributor Cuanki dan Seblak,Kab. Bekasi,40+ terjual,4.8
Sabring kerupuk seblak kering pedas 75 gram,Rp5.000,RIKI STORE 97,Kab. Bogor,28 terjual,4.2
"SAWARGI Snack, Kerupuk seblak, Seblak kering, Sebring, 1/4kg",Rp17.000,Sawargi Snack,Bandung,250+ terjual,4.8
KERUPUK SEBLAK,Rp6.000,Malmilty,Kab. Bogor,,
Kylafood Mix Pentol Kuah dan Seblak Original,Rp39.500,kylafood,Bandung,16 terjual,5.0
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,Rp10.200,Foodstocks,Jakarta Selatan,30+ terjual,5.0
Kylafood Seblak Rempah Autentik isi (10pcs),Rp90.470,kylafood,Bandung,50+ terjual,4.9
Seblak Pedas Kicimpring Iyagasih,Rp15.000,Gerai Singawada,Kab. Majalengka,6 terjual,5.0
SEBRING 250 GRAM / KERUPUK SEBLAK MAWAR,Rp14.000,Dapur Sehat21,Kab. Bandung,11 terjual,5.0
Sabring kerupuk seblak jablay pedas Jumbo,Rp15.000,RIKI STORE 97,Kab. Bogor,20 terjual,4.8
Bumbu seblak instant 10pcs,Rp16.022,arjuna shop1,Bandung,750+ terjual,4.9
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp32.500,kylafood,Bandung,50+ terjual,4.4
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,Rp13.500,Distributor Cuanki dan Seblak,Kab. Bekasi,250+ terjual,4.8
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,Rp20.000,pelangi khatulistiwa 2,Surabaya,40+ terjual,4.9
KRUPUK SEBLAK BANTET KENCUR 250gr / SNACK KILOAN MURAH / SEBLAK CIKUR,Rp8.999,almasnack,Kab. Bekasi,50+ terjual,4.9
"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",Rp23.000,anugrah seblak,Kab. Bandung,250+ terjual,4.7
Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp26.000,Snackzone PP,Jakarta Pusat,25 terjual,5.0
SEBLAK INSTAN | SEBLAK INSTAN HOMEMADE SUPER LENGKAP,Rp4.999,Kairashop_id,Surabaya,19 terjual,4.4
KERUPUK PEDAS JABLAY PELANGI 500gr / Seblak Kering Bantat Seblak,Rp32.198,AHR Jaya Snack,Jakarta Timur,10 terjual,5.0
Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,Rp19.500,Foodstocks,Jakarta Selatan,30+ terjual,4.8
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,Rp19.050,dariimyu,Kab. Indramayu,100+ terjual,5.0
Kerupuk Mentah seblak 1kg,Rp18.000,DINAYASHOP,Jakarta Barat,70+ terjual,4.5
KERUPUK STIK SEBLAK 200 GRAM,Rp12.500,GUPONG ABIMANYU,Depok,17 terjual,5.0
baso aci / seblak instan/ batagor kuah milanial,Rp5.999,Suncity.,Kab. Tangerang,2rb+ terjual,4.9
Kerupuk Joged Bawang Bibir Warna Warni mentah 500gr Seblak,Rp12.000,insanprimastore,Tangerang Selatan,20 terjual,4.9
Cuanki tahu Gepeng Geprek isi 20 pcs toping seblak baso Aci baso,Rp8.500,Distributor Cuanki dan Seblak,Kab. Bekasi,80+ terjual,4.8
"seblak kerupuk kering,pedo,krupuk mawar,pedas daun jeruk,kerupuk gelun",Rp5.000,SEBLAK MANTUL,Kab. Bandung,90+ terjual,4.9
kerupuk seblak bintang pedas,Rp15.500,keyz shop78,Bandung,60+ terjual,4.8
CAMILAN SEBLAK PEDAS 250GR JAJANAN OLEH-OLEH SNACK KILOAN CAMILAN KILO,Rp12.500,LARISSA SNACK STORE,Semarang,100+ terjual,4.8
(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta,Rp8.380,karoppotta official,Makassar,60+ terjual,4.9
[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,Rp4.000,CemilanPuas,Medan,250+ terjual,4.4
"(COD) seblak kering kerupuk jengkol bumbu basah,pedas",Rp25.000,anugrah seblak,Kab. Bandung,40+ terjual,4.8
Kylafood Seblak Rempah Autentik isi (5pcs),Rp45.235,kylafood,Bandung,100+ terjual,4.6
kerupuk seblak kencur / kerupuk seblak kering - 250gram,Rp13.000,yumnaa snack,Kab. Bekasi,40+ terjual,4.8
Cancimen Seblak Ramen Mas Miun Instan Cemilan Cup Kekinian Khas Garut,Rp17.000,The Little Snacks,Tangerang Selatan,60+ terjual,5.0
Kerupuk Seblak Jeruk,Rp14.000,oke snack,Jakarta Selatan,250+ terjual,4.9
Mommy Seblak Basah Instan 100gr,Rp9.750,Fortuneolshop888,Kab. Bogor,250+ terjual,4.9
Seblak MOMMY Cemilan yang Luar Biasa,Rp11.400,ErJu,Bandung,10rb+ terjual,4.7
KERUPUK PEDAS SEBLAK PELANGI 250 GR,Rp15.000,TOKO KUE MEISYA 2,Jakarta Pusat,30+ terjual,5.0
MASJAY Combo 3pcs Seblak Bandung Instant Bumbu Pedas Membara,Rp39.000,Lidigeli,Kab. Garut,29 terjual,4.7
"cuanki sohu khas garut -+100 btr enak,renyah cocok baso aci,seblak dll",Rp14.999,aghniya,Tangerang Selatan,250+ terjual,5.0
COMBO HALU! 2PC SEBLAK MIE HALU - EMAK INDAH FOOD,Rp39.600,Pempek Emak Indah,Jakarta Barat,50+ terjual,5.0
TOPPING SEBLAK/baso Aci paket mix super murah khas Garut/cuanki/siomay,Rp69.999,ArfaOnlineShop,Tangerang,90+ terjual,4.9
Kylafood Seblak Karuhun Play,Rp10.530,kylafood,Bandung,250+ terjual,4.9
Seblak Mager (seblak instan) ,Rp18.000,seblakmager,Bandung,,
Kylafood Seblak Mie Baso,Rp21.450,kylafood,Bandung,4rb+ terjual,4.9
SEBLAK ACI INSTAN JAGUAR TERLEZAT MIE SEBLAK INSTANT JAGUAR SEBLAK - Seblak Aci Ayam,Rp10.000,Uai Food,Surabaya,80+ terjual,5.0
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp91.125,kylafood,Bandung,3rb+ terjual,4.9
seblak instan om brewok,Rp14.000,Muysproduct,Kab. Bogor,2 terjual,5.0
Kylafood Seblak Mie Baso Sapi Play,Rp21.450,kylafood,Bandung,250+ terjual,4.9
Bakso Aci Instan Murah Asli Bandung Frozen Baso Cilok Kuah Kenyang,Rp5.702,Berkah Food Bandung,Cimahi,10rb+ terjual,4.9
Kylafood Seblak Tulang Rawan Play,Rp19.110,kylafood,Bandung,500+ terjual,4.9
seblak instan mie bakso om brewok,Rp16.000,Muysproduct,Kab. Bogor,5 terjual,5.0
kerupuk seblak bantet kemasan,Rp5.000,arsensnack,Kab. Bekasi,22 terjual,4.9
kerupuk seblak extra pedas murah meriah,Rp5.000,RIKI STORE 97,Kab. Bogor,12 terjual,4.7
SIOMAY MINI KERING 5 KG Garut campuran bahan baso Aci dan seblak,Rp140.999,ArfaOnlineShop,Tangerang,11 terjual,
Kerupuk Seblak bumbu kacang,Rp13.000,Allsnackbandung,Bandung,100+ terjual,5.0
SEBLAK KERING 100gr DUA VARIAN RASA,Rp4.500,jajanangarut19,Jakarta Selatan,100+ terjual,4.7
Kylafood Seblak Tulang Rawan,Rp24.500,kylafood,Bandung,8rb+ terjual,4.9
BASO ACI TULANG RANGU 100 GR,Rp21.700,Rak Sebelah,Jakarta Pusat,3rb+ terjual,4.9
PAKET HEMAT (2 Seblak original - Seblak Karuhun - Cireng Bumbu Rujak),Rp56.250,kylafood,Bandung,750+ terjual,4.9
Baso Aci Mak Igun / Bakso Aci Tulang Rangu Mak Igun - Tulang Rangu,Rp41.650,Foodstocks,Jakarta Selatan,100+ terjual,4.9
Kylafood Seblak Rempah Autentik isi (20 pcs),Rp216.630,kylafood,Bandung,10 terjual,5.0
Seblak Instan LALA komplit rasa mantap ngeunah raos pisan khas Bandung,Rp60.000,Seblak carla,Tangerang,90+ terjual,5.0
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",Rp23.000,anugrah seblak,Kab. Bandung,250+ terjual,4.8
1kg GURILEM Siomay Mini bahan Pelengkap Boci seblak dan cuanki,Rp29.500,lahawelah,Kab. Garut,750+ terjual,4.9
Kerupuk Seblak 100 gram-Tantaz Snack,Rp6.500,tantaz_Snack,Tangerang Selatan,23 terjual,4.8
kerupuk seblak pedas 1 kg / kerupuk seblak,Rp35.625,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg POCO / PUYUR,Rp21.000,SuperSnacksShop,Kab. Bandung,90+ terjual,4.8
kerupuk mix 250 gram campuran seblak,Rp7.399,ArfaOnlineShop,Tangerang,70+ terjual,5.0
Kylafood Seblak Tulang Rawan Play,Rp19.110,kylafood,Bandung,500+ terjual,4.9
SEBLAK INSTAN special bumbu kencur rasa lezat,Rp5.999,aghniya,Tangerang Selatan,2rb+ terjual,4.8
kerupuk seblak keriting/seblak bulat/kerupuk keriting pedas,Rp15.000,shofia snack bekasi,Kab. Bekasi,100+ terjual,4.7
Cuanki Kuah Instan Parahyangan,Rp12.600,indieshop786,Kab. Garut,,
Kylafood Basreng pedas kemasan 100g,Rp13.900,kylafood,Bandung,750+ terjual,4.9
CUANKIE PARAHYANGAN INSTAN RASA CUANKIE ASELI - OLEH OLEH BANDUNG,Rp19.500,Cuankie Parahyangan,Kab. Bandung Barat,9 terjual,5.0
Kylafood Seblak Mie Tulang Rawan,Rp25.500,kylafood,Bandung,3rb+ terjual,4.9
Keripik Singkong Balado Christine Hakim,Rp36.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,2rb+ terjual,4.9
KERUPUK PEDAS KRIWIL 500gr / KRUPUK SEBLAK SUPER PEDAS,Rp32.200,AHR Jaya Snack,Jakarta Timur,9 terjual,5.0
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,Rp10.200,Foodstocks,Jakarta Selatan,30+ terjual,5.0
cuanki/cuankie lidah isi 50 pcs khas Garut baso Aci/boci/seblak,Rp16.999,ArfaOnlineShop,Tangerang,80+ terjual,4.9
SEBLAK CIRENG SHAZA SEBLAK INSTAN,Rp12.000,Dingdong Food,Tangerang Selatan,70+ terjual,4.9
kerupuk seblak Pedas 75 gram gurih,Rp5.000,RIKI STORE 97,Kab. Bogor,6 terjual,4.0
"Bumbu asin gurih extra rempah 250 gr. Untuk kuah baso aci,seblak dll",Rp15.999,aghniya,Tangerang Selatan,250+ terjual,4.9
"SIOMAY MINI 1 BALL ISI 5 KILO TOPING BASO ACI, SEBLAK",Rp150.000,global cookware1,Jakarta Barat,100+ terjual,4.8
aneka kerupuk mix untuk bahan seblak 100 gr,Rp3.499,aghniya,Tangerang Selatan,100+ terjual,4.9
Kerupuk RANTAI 250gr SEBLAK Warna Warni,Rp4.987,yohangunawan94,Bandung,500+ terjual,5.0
aneka kerupuk mix untuk bahan seblak 500 gr,Rp14.999,aghniya,Tangerang Selatan,100+ terjual,5.0
 Kylafood Paket 4 Seblak Original 1 Batagor,Rp85.875,kylafood,Bandung,1rb+ terjual,4.9
jagung marning 250 gr,Rp16.000,oke snack,Jakarta Selatan,500+ terjual,4.9
Kylafood Seblak Original Isi 10 pcs,Rp167.700,kylafood,Bandung,13 terjual,5.0
Kylafood Basreng Pedas 1000g,Rp72.800,kylafood,Bandung,70+ terjual,5.0
Kylafood Toping Batagor,Rp9.360,kylafood,Bandung,2rb+ terjual,4.9
STIK KERUPUK SEBLAK PEDAS 250 GRAM,Rp20.000,Akang Kripik,Jakarta Timur,15 terjual,5.0
Ready seblak basreng pedas daun jeruk 1kg basreng bandung renyah gurih,Rp50.000,seblak bandung99,Kab. Bandung,750+ terjual,4.9
KRUPUK KREBO 180GR/KRUPUK KRIBO SEBLAK PEDAS/CEMILAN MURAH/SNAC KILOAN,Rp11.500,Agen Snack Murah,Jakarta Barat,100+ terjual,4.7
Kerupuk Krupuk Seblak Putih Kering Pedas Oleh Oleh Bandung Odjolali,Rp10.500,Storio Store,Tangerang Selatan,30+ terjual,4.5
Kerupuk seblak pedas 75 gram,Rp5.000,RIKI STORE 97,Kab. Bogor,20 terjual,4.0
Kerupuk indosari gado gado dan seblak,Rp18.900,Agen bawang goreng mas YO,Kab. Bogor,100+ terjual,4.9
krupuk seblak bumbu kacang,Rp16.800,H Nugraha,Bandung,30+ terjual,4.8
Seblak Tulang Rawan k.y.l Kylafood (Spesial Panen Telur),Rp17.550,kylafood,Bandung,30+ terjual,5.0
Cipet somay kering segitiga isi 20 pcs toping seblak baso Aci cuanki,Rp6.999,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.8
SEBLAK INSTAN SIAP SAJI,Rp15.897,nyemilsaji,Kab. Bandung,1rb+ terjual,4.8
Kerupuk seblak/bawang /500 gr,Rp13.000,fanyshop1,Jakarta Selatan,70+ terjual,4.9
CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,Rp35.789,nyemilsaji,Kab. Bandung,750+ terjual,4.8
Makanan Ringan Seblak Makaroni Spiral Pedas Kering,Rp5.000,BLIBET,Jakarta Barat,6 terjual,5.0
Kerupuk Seblak Pedas 200gr,Rp12.000,Utama.Snack,Surabaya,500+ terjual,4.9
Seblak Instan,Rp11.500,RN FROZEN FOOD,Jakarta Selatan,50+ terjual,4.9
Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,Rp109.750,Makanan Tradisi Id,Jakarta Pusat,11 terjual,5.0
Sukro pilus Cikur Sari rasa 1kg - toping seblak - baso aci,Rp35.000,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.8
Pasar Keripik Cimol Seblak Pedas size Kecil 130g,Rp12.500,Pasar Keripik Bandung,Bandung,500+ terjual,4.9
paket kerupuk seblak,Rp50.000,cemalcemil_skuy,Tangerang,100+ terjual,5.0
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,Rp24.700,oyun kriukzz,Kab. Bekasi,750+ terjual,4.9
KERUPUK PEDAS JABLAY PELANGI 1kg / Seblak Kering Kerupuk Bantat Seblak,Rp62.098,AHR Jaya Snack,Jakarta Timur,6 terjual,5.0
"Kerupuk seblak/jablay pedas snack kiloan cemilan original, exp panjang",Rp8.500,amarsha_shop,Jakarta Utara,100+ terjual,4.6
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,Rp20.000,KailaAini_collection,Kab. Bandung,60+ terjual,5.0
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,Rp85.000,Central Seblak Nusantara,Tangerang Selatan,17 terjual,5.0
PAKET MIX HEMAT 50 BASO ACI/BOCI/SEBLAK/CUANKI,Rp85.000,ArfaOnlineShop,Tangerang,40+ terjual,5.0
baso Aci/boci/seblak CUANKI LIDAH KHAS GARUT MURAH isi 100 pcs,Rp39.999,ArfaOnlineShop,Tangerang,6 terjual,5.0
Kerupuk SEBLAK KERITING PEDAS ( 1 Kg ),Rp79.000,KRIUK JAYA,Jakarta Barat,8 terjual,5.0
Kerupuk Seblak Kencur Gurih Asin Pedas 10 pcs/pak,Rp7.000,SerbaAda_6699,Bandung,30+ terjual,5.0
seblak instan KSN frozen,Rp10.400,Pelangi Girls Naget 2,Depok,100+ terjual,5.0
SEBLAK INSTAN KARASA,Rp5.999,aghniya,Tangerang Selatan,500+ terjual,4.9
cuanki lidah untuk baso aci dan seblak,Rp15.999,aghniya,Tangerang Selatan,1rb+ terjual,4.8
Seblak Instant Homemade,Rp14.000,Tea78,Tangerang,21 terjual,5.0
kerupuk seblak mentah kerupuk bawang 250gr,Rp11.900,BuyungBumbu,Jakarta Pusat,70+ terjual,4.8
Seblak Bantat Boboko Pedas Daun Jeruk Level 20 Khas Bandung 125g,Rp17.700,Gerai Snack Official Shop,Kab. Tangerang,30+ terjual,4.9
50pcs LIDAH Cuanki Batagor bahan Pelengkap Boci seblak dan cuanki,Rp17.999,lahawelah,Kab. Garut,250+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Kylafood Seblak Original Play,Rp15.050,kylafood,Bandung,1rb+ terjual,5.0
